id,name,code,category_id/id,provider_id/id,provider_type_id/id,image_url,is_pre_booking,is_post_booking_booked,is_post_booking_issued,is_economy,is_premium_economy,is_business,is_first_class
tt_ssr_list_id_31,Pak Nasser's Nasi Lemak Combo,NLCA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_32,Pre-purchase baggage 15kg,PB15,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_33,Pre-purchase baggage 20kg,PB20,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_34,Comfort Kit,PCMK,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_35,Nasi Lemak,MEAA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_36,AA Vege Fried Rice/D7 Vege Meal,MEXC,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_37,AA Chicken Rice/D7 Kid's Meal,MEXD,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_38,Pak Nasser's Nasi Lemak,MYMX,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,1,0,1,1
tt_ssr_list_id_39,Chicken Rice Combo,ORML,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_40,Late meal,LTML,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_41,Nasi Kuning,MEQA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_42,Chic Sandwich,MEQB,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_43,AA Fried Rice/D7 M'sia Meal,MEXA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_44,AA Focaccia/D7 Int'l Meal,MEXB,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_45,WCHX Wheelchair 3,WCHX,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_46,Xpress baggage,XBAG,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_47,Xpress Boarding,XBC,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_48,Xpress Boarding,XBD1,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_49,Xpress Boarding,XBD2,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_50,Xpress Boarding,XBS,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_51,AA Vegetarian Rice,VRMA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_52,Hot Dog,MEAB,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_53,Chic Sandwich,MEAC,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_54,Nasi Briyani,MEAD,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_55,Roti Canai,MEAE,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_56,AA Nasi Lemak,NLMA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_57,Nasi Lemak Combo,NLML,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_58,Pre-purchase baggage 25kg,PB25,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_59,Pre-purchase baggage 30kg,PB30,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_60,Spinach & Mushroom Lasagna,VGMX,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_61,Vege Fried Rice Combo,VRCA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_62,One xtra seat,XST1,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_63,Two xtra seats,XST2,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_64,Speech impaired / Deaf & blind,MAAS,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_65,AA Nasi Briyani,BRMA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_66,Chic sandwich,CSSA,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_67,Asian Fried Rice Combo,FPML,tt_ssr_category_meal,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_68,Checked baggage 5,BGAE,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_69,Baggage - up to 40kg,BXDE,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
tt_ssr_list_id_70,Child pax,CHLD,,tt_reservation_airline.tt_provider_airline_airasia,tt_reservation_airline.tt_provider_type_airline,,1,1,1,0,0,0,0
