"id","name","type","is_international_flight","city","country_id/id","code","icao","latitude","longitude","altitude","timezone_hour","daylight_saving_times","tz"
"tt_airport_5751","West Point Village Seaplane Base","airport","TRUE","West Point","base.us","KWP",,57.77,-153.548889,0,-9,"A","America/Anchorage"
"tt_airport_5752","Zachar Bay Seaplane Base","airport","TRUE","Zachar Bay","base.us","KZB",,57.55,-153.75,0,-9,"A","America/Anchorage"
"tt_airport_5753","Ambler Airport","airport","TRUE","Ambler","base.us","ABL","PAFM",67.106389,-157.8575,334,-9,"A","America/Anchorage"
"tt_airport_5754","Buckland Airport","airport","TRUE","Buckland","base.us","BKC","PABL",65.981667,-161.149167,31,-9,"A","America/Anchorage"
"tt_airport_5755","Bob Baker Memorial Airport","airport","TRUE","Kiana","base.us","IAN","PAIK",66.975833,-160.436667,166,-9,"A","America/Anchorage"
"tt_airport_5756","Kobuk Airport","airport","TRUE","Kobuk","base.us","OBU","PAOB",66.912222,-156.897222,137,-9,"A","America/Anchorage"
"tt_airport_5757","Robert Curtis Memorial Airport","airport","TRUE","Noorvik","base.us","ORV","PFNO",66.8175,-161.022222,55,-9,"A","America/Anchorage"
"tt_airport_5758","Selawik Airport","airport","TRUE","Selawik","base.us","WLK","PASK",66.6,-159.985833,17,-9,"A","America/Anchorage"
"tt_airport_5759","Brevig Mission Airport","airport","TRUE","Brevig Mission","base.us","KTS","PFKT",65.331389,-166.465833,35,-9,"A","America/Anchorage"
"tt_airport_5760","Elim Airport","airport","TRUE","Elim","base.us","ELI","PFEL",64.615,-162.270556,162,-9,"A","America/Anchorage"
"tt_airport_5761","Golovin Airport","airport","TRUE","Golovin","base.us","GLV","PAGL",64.550556,-163.007222,59,-9,"A","America/Anchorage"
"tt_airport_5762","Teller Airport","airport","TRUE","Teller","base.us","TLA","PATE",65.240278,-166.339444,294,-9,"A","America/Anchorage"
"tt_airport_5763","Wales Airport","airport","TRUE","Wales","base.us","WAA","PAIW",65.6225,-168.095,22,-9,"A","America/Anchorage"
"tt_airport_5764","White Mountain Airport","airport","TRUE","White Mountain","base.us","WMO","PAWM",64.689167,-163.412778,267,-9,"A","America/Anchorage"
"tt_airport_5765","Council Airport","airport","TRUE","Council","base.us","CIL",,64.897778,-163.703333,85,-9,"A","America/Anchorage"
"tt_airport_5766","Koyuk Alfred Adams Airport","airport","TRUE","Koyuk","base.us","KKA","PAKK",64.939444,-161.154167,154,-9,"A","America/Anchorage"
"tt_airport_5767","St. Michael Airport","airport","TRUE","St. Michael","base.us","SMK","PAMK",63.49,-162.110278,98,-9,"A","America/Anchorage"
"tt_airport_5768","Shaktoolik Airport","airport","TRUE","Shaktoolik","base.us","SKK","PFSH",64.371111,-161.223889,24,-9,"A","America/Anchorage"
"tt_airport_5769","Stebbins Airport","airport","TRUE","Stebbins","base.us","WBB",,63.515833,-162.278056,14,-9,"A","America/Anchorage"
"tt_airport_5770","Tin City LRRS Airport","airport","TRUE","Tin City","base.us","TNC","PATC",65.563056,-167.921667,269,-9,"A","America/Anchorage"
"tt_airport_5771","Atka Airport","airport","TRUE","Atka","base.us","AKB","PAAK",52.220278,-174.206389,56,-9,"A","America/Anchorage"
"tt_airport_5772","Nikolski Air Station","airport","TRUE","Nikolski","base.us","IKO","PAKO",52.941667,-168.848889,77,-9,"A","America/Anchorage"
"tt_airport_5773","Icy Bay Airport","airport","TRUE","Icy Bay","base.us","ICY",,59.968889,-141.661667,50,-9,"A","America/Anchorage"
"tt_airport_5774","Yakataga Airport","airport","TRUE","Yakataga","base.us","CYT","PACY",60.081901,-142.493611,12,-9,"A","America/Anchorage"
"tt_airport_5775","Alakanuk Airport","airport","TRUE","Alakanuk","base.us","AUK","PAUK",62.68,-164.66,10,-9,"A","America/Anchorage"
"tt_airport_5776","Sheldon Point Airport","airport","TRUE","Nunam Iqua","base.us","SXP",,62.520556,-164.847778,12,-9,"A","America/Anchorage"
"tt_airport_5777","Kipnuk Airport","airport","TRUE","Kipnuk","base.us","KPN","PAKI",59.933056,-164.030556,11,-9,"A","America/Anchorage"
"tt_airport_5778","False Pass Airport","airport","TRUE","False Pass","base.us","KFP","PAKF",54.8475,-163.410278,20,-9,"A","America/Anchorage"
"tt_airport_5779","Nelson Lagoon","airport","TRUE","Nelson Lagoon","base.us","NLG","PAOU",56.0075,-161.160278,14,-9,"A","America/Anchorage"
"tt_airport_5780","Port Moller Airport","airport","TRUE","Cold Bay","base.us","PML","PAAL",56.006111,-160.560833,20,-9,"A","America/Anchorage"
"tt_airport_5781","Klawock Airport","airport","TRUE","Klawock","base.us","KLW","PAKW",55.579167,-133.076111,80,-9,"A","America/Anchorage"
"tt_airport_5782","Quinhagak Airport","airport","TRUE","Quinhagak","base.us","KWN","PAQH",59.755,-161.845278,42,-9,"A","America/Anchorage"
"tt_airport_5783","Kotlik Airport","airport","TRUE","Kotlik","base.us","KOT","PFKO",63.030556,-163.532778,15,-9,"A","America/Anchorage"
"tt_airport_5784","Koyukuk Airport","airport","TRUE","Koyukuk","base.us","KYU","PFKU",64.875833,-157.730556,149,-9,"A","America/Anchorage"
"tt_airport_5785","Scammon Bay Airport","airport","TRUE","Scammon Bay","base.us","SCM","PACM",61.845278,-165.571389,14,-9,"A","America/Anchorage"
"tt_airport_5786","Nondalton Airport","airport","TRUE","Nondalton","base.us","NNL","PANO",59.966944,-154.851667,262,-9,"A","America/Anchorage"
"tt_airport_5787","Pedro Bay Airport","airport","TRUE","Pedro Bay","base.us","PDB",,59.782222,-154.1325,45,-9,"A","America/Anchorage"
"tt_airport_5788","Nunapitchuk Airport","airport","TRUE","Nunapitchuk","base.us","NUP",,60.905833,-162.439167,12,-9,"A","America/Anchorage"
"tt_airport_5789","Kongiganak Airport","airport","TRUE","Kongiganak","base.us","KKH","PADY",59.960833,-162.881111,30,-9,"A","America/Anchorage"
"tt_airport_5790","Nikolai Airport","airport","TRUE","Nikolai","base.us","NIB","PAFS",63.010833,-154.383889,427,-9,"A","America/Anchorage"
"tt_airport_5791","Takotna Airport","airport","TRUE","Takotna","base.us","TCT",,62.971944,-156.082778,825,-9,"A","America/Anchorage"
"tt_airport_5792","Pilot Station Airport","airport","TRUE","Pilot Station","base.us","PQS",,61.934444,-162.899444,305,-9,"A","America/Anchorage"
"tt_airport_5793","Akiak Airport","airport","TRUE","Akiak","base.us","AKI","PFAK",60.902778,-161.230556,30,-9,"A","America/Anchorage"
"tt_airport_5794","Tuluksak Airport","airport","TRUE","Tuluksak","base.us","TLT",,61.096944,-160.969444,30,-9,"A","America/Anchorage"
"tt_airport_5795","Grayling Airport","airport","TRUE","Grayling","base.us","KGX",,62.894444,-160.065,99,-9,"A","America/Anchorage"
"tt_airport_5796","Wainwright Airport","airport","TRUE","Wainwright","base.us","AIN","PAWI",70.638056,-159.994722,41,-9,"A","America/Anchorage"
"tt_airport_5809","Chenega Bay Airport","airport","TRUE","Chenega","base.us","NCN","PFCB",60.077222,-147.991944,72,-9,"A","America/Anchorage"
"tt_airport_5810","Chisana Airport","airport","TRUE","Chisana","base.us","CZN",,62.071111,-142.048333,1011,-9,"A","America/Anchorage"
"tt_airport_5811","Tok Junction Airport","airport","TRUE","Tok","base.us","6K8","PFTO",63.329444,-142.953611,1639,-9,"A","America/Anchorage"
"tt_airport_5812","Circle City Airport","airport","TRUE","Circle","base.us","IRC","PACR",65.827778,-144.076111,613,-9,"A","America/Anchorage"
"tt_airport_5813","Coffman Cove Seaplane Base","airport","TRUE","Coffman Cove","base.us","KCC",,56.014722,-132.833889,0,-9,"A","America/Anchorage"
