id,name,code,icao,city,country_id/id,provider_type_id/id,latitude,longitude,altitude,timezone_hour,tz,active
tt_destinations_189,Zia Intl,DAC,VGZR,Dhaka,base.bd,tt_base.tt_provider_type_1,23.843333,90.397781,30,6,Asia/Dhaka,1
tt_destinations_190,Bangalore,BLR,VOBL,Bangalore,base.in,tt_base.tt_provider_type_1,12.949986,77.668206,2912,5.5,Asia/Calcutta,1
tt_destinations_191,Ahmedabad,AMD,VAAH,Ahmedabad,base.in,tt_base.tt_provider_type_1,23.077242,72.63465,189,5.5,Asia/Calcutta,1
tt_destinations_192,Thiruvananthapuram Intl,TRV,VOTV,Trivandrum,base.in,tt_base.tt_provider_type_1,8.482122,76.920114,15,5.5,Asia/Calcutta,1
tt_destinations_193,Hyderabad,HYD,VOHY,Hyderabad,base.in,tt_base.tt_provider_type_1,17.453117,78.467586,1742,5.5,Asia/Calcutta,1
tt_destinations_194,Cochin,COK,VOCI,Kochi,base.in,tt_base.tt_provider_type_1,10.155556,76.391389,8,5.5,Asia/Calcutta,1
tt_destinations_195,Coimbatore,CJB,VOCB,Coimbatore,base.in,tt_base.tt_provider_type_1,11.030031,77.043383,1324,5.5,Asia/Calcutta,1
tt_destinations_196,Tribhuvan Intl,KTM,VNKT,Kathmandu,base.np,tt_base.tt_provider_type_1,27.696583,85.3591,4390,5.75,Asia/Katmandu,1
tt_destinations_197,Vishakhapatnam,VTZ,VEVZ,Vishakhapatnam,base.in,tt_base.tt_provider_type_1,17.721167,83.224483,15,5.5,Asia/Calcutta,1
tt_destinations_198,Bandaranaike Intl Colombo,CMB,VCBI,Colombo,base.lk,tt_base.tt_provider_type_1,7.180756,79.884117,30,5.5,Asia/Colombo,1
tt_destinations_199,Dubai Intl,DXB,OMDB,Dubai,base.ae,tt_base.tt_provider_type_1,25.252778,55.364444,62,4,Asia/Dubai,1
tt_destinations_200,Johannesburg Intl,JNB,FAJS,Johannesburg,base.za,tt_base.tt_provider_type_1,-26.139166,28.246,5558,2,Africa/Johannesburg,1
tt_destinations_201,Cape Town Intl,CPT,FACT,Cape Town,base.za,tt_base.tt_provider_type_1,-33.964806,18.601667,151,2,Africa/Johannesburg,1
tt_destinations_202,Male Intl,MLE,VRMM,Male,base.mv,tt_base.tt_provider_type_1,4.191833,73.529128,6,5,Indian/Maldives,1
