id,name,code,provider_id/id,city_id/id,,
hotel_provider_code_quantum_38,Iguazu; AR,AR~4,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_39,Mar del plata; AR,AR~5,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_ARG_140,tt_city_code.rdx_city_ARG_140,tt_city_code.rdx_city_ARG_140
hotel_provider_code_quantum_40,Mendoza; AR,AR~6,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_ARG_39,tt_city_code.rdx_city_ARG_39,tt_city_code.rdx_city_ARG_39
hotel_provider_code_quantum_41,Neuquen; AR,AR~7,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_42,Villa la Angostura; AR,AR~8,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_43,Salta; AR,AR~9,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_ARG_12,tt_city_code.rdx_city_ARG_12,tt_city_code.rdx_city_ARG_12
hotel_provider_code_quantum_44,Ushuaia; AR,AR~10,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_ARG_4,tt_city_code.rdx_city_ARG_4,tt_city_code.rdx_city_ARG_4
hotel_provider_code_quantum_45,Tupungato; AR,AR~580,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_46,Pilar; AR,AR~581,tt_reservation_hotel.tt_hotel_provider_quantum,,tt_city_code.rdx_city_PRY_22,tt_city_code.rdx_city_PRY_22
hotel_provider_code_quantum_47,Soldat Tucuman; AR,AR~582,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_48,Tucuman; AR,AR~583,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_49,Rosario; AR,AR~584,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_ARG_149,tt_city_code.rdx_city_PRY_35,tt_city_code.rdx_city_ARG_149
hotel_provider_code_quantum_50,Vienna; AT,AT~499,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUT_10,tt_city_code.rdx_city_USA_387,tt_city_code.rdx_city_AUT_10
hotel_provider_code_quantum_51,Villach; AT,AT~501,tt_reservation_hotel.tt_hotel_provider_quantum,,,
