id,name,country_id/id,city_id/id,state_id/id
rdx_alias_113,Bingöl,,rdx_city_TUR_5,
rdx_alias_114,Birštonas,,rdx_city_LTU_30,
rdx_alias_115,Biržai,,rdx_city_LTU_21,
rdx_alias_116,Birżebbuġa,,rdx_city_MLT_1,
rdx_alias_117,Bistrița,,rdx_city_ROU_38,
rdx_alias_118,Bodø,,rdx_city_NOR_17,
rdx_alias_119,Bogatić,,rdx_city_SRB_117,
rdx_alias_120,Bollnäs,,rdx_city_SWE_25,
rdx_alias_121,Borås,,rdx_city_SWE_31,
rdx_alias_122,Borlänge,,rdx_city_SWE_33,
rdx_alias_123,Botoșani,,rdx_city_ROU_15,
rdx_alias_124,Bragança,,rdx_city_PRT_15,
rdx_alias_125,Brăila,,rdx_city_ROU_2,
rdx_alias_126,Braslovče,,rdx_city_SVN_42,
rdx_alias_127,Brașov,,rdx_city_ROU_24,
rdx_alias_128,Brežice,,rdx_city_SVN_43,
rdx_alias_129,Brocēni,,rdx_city_LVA_43,
rdx_alias_130,Buzău,,rdx_city_ROU_17,
rdx_alias_131,Cà Mau,,rdx_city_VNM_53,
rdx_alias_132,Caacupé,,rdx_city_PRY_15,
rdx_alias_133,Caazapá,,rdx_city_PRY_13,
rdx_alias_134,Čačak,,rdx_city_SRB_122,
rdx_alias_135,Čajetina,,rdx_city_SRB_143,
rdx_alias_136,Călăraşi,,rdx_city_MDA_33,
rdx_alias_137,Călărași,,rdx_city_ROU_6,
rdx_alias_138,Cẩm Phả,,rdx_city_VNM_23,
rdx_alias_139,Camaná,,rdx_city_PER_61,
rdx_alias_140,Çanakkale,,rdx_city_TUR_83,
rdx_alias_141,Cancún,,rdx_city_MEX_143,
rdx_alias_142,Çankırı,,rdx_city_TUR_44,
rdx_alias_143,Cao Bằng,,rdx_city_VNM_71,
rdx_alias_144,Cao Lãnh,,rdx_city_VNM_35,
rdx_alias_145,Carhué,,rdx_city_ARG_145,
rdx_alias_146,Carúpano,,rdx_city_VEN_51,
rdx_alias_147,Čaška,,rdx_city_MKD_46,
rdx_alias_148,Căuşeni,,rdx_city_MDA_3,
rdx_alias_149,Centar Župa,,rdx_city_MKD_50,
rdx_alias_150,Češinovo,,rdx_city_MKD_62,
rdx_alias_151,Cēsis,,rdx_city_LVA_61,
rdx_alias_152,Champotón,,rdx_city_MEX_145,
rdx_alias_153,Chascomús,,rdx_city_ARG_111,
rdx_alias_154,Châu Đốc,,rdx_city_VNM_25,
rdx_alias_155,Chersky,,rdx_city_RUS_463,
rdx_alias_156,Chișinău,,rdx_city_MDA_26,
rdx_alias_157,Chitré,,rdx_city_PAN_13,
rdx_alias_158,Ćićevac,,rdx_city_SRB_30,
rdx_alias_159,Cimişlia,,rdx_city_MDA_12,
rdx_alias_160,City of Parañaque,,rdx_city_PHL_17,
rdx_alias_161,Ciudad Bolívar,,rdx_city_VEN_8,
rdx_alias_162,Ciudad Constitución,,rdx_city_MEX_28,
rdx_alias_163,Ciudad Juárez,,rdx_city_MEX_156,
rdx_alias_164,Čoka,,rdx_city_SRB_121,
rdx_alias_165,Colón,,rdx_city_PAN_4,
rdx_alias_166,Concepción,,rdx_city_PRY_14,
rdx_alias_167,Concepción del Uruguay,,rdx_city_ARG_104,
rdx_alias_168,Constanța,,rdx_city_ROU_16,
rdx_alias_169,Córdoba,,rdx_city_MEX_187,
rdx_alias_170,Córdoba,,rdx_city_ARG_41,
rdx_alias_171,Coronel Suárez,,rdx_city_ARG_143,
rdx_alias_172,Çorovodë,,rdx_city_ALB_9,
rdx_alias_173,Covilhã,,rdx_city_PRT_23,
rdx_alias_174,Črenšovci,,rdx_city_SVN_52,
rdx_alias_175,Črna na Koroškem,,rdx_city_SVN_53,
rdx_alias_176,Črnomelj,,rdx_city_SVN_54,
rdx_alias_177,Cuauhtémoc,,rdx_city_MEX_172,
rdx_alias_178,Čučer-Sandevo,,rdx_city_MKD_28,
rdx_alias_179,Culiacán,,rdx_city_MEX_59,
rdx_alias_180,Cumaná,,rdx_city_VEN_10,
rdx_alias_181,Ćuprija,,rdx_city_SRB_33,
rdx_alias_182,Cutral Có,,rdx_city_ARG_32,
rdx_alias_183,Đà Lạt,,rdx_city_VNM_33,
rdx_alias_184,Đà Nẵng,,rdx_city_VNM_31,
rdx_alias_185,Daşoguz,,rdx_city_TKM_2,
rdx_alias_186,Deçan,,rdx_city_XKS_22,
rdx_alias_187,Delčevo,,rdx_city_MKD_60,
rdx_alias_188,Điện Biên Phủ,,rdx_city_VNM_59,
rdx_alias_189,Divača,,rdx_city_SVN_124,
rdx_alias_190,Diyarbakır,,rdx_city_TUR_79,
rdx_alias_191,Djenné,,rdx_city_MLI_24,
rdx_alias_192,Domžale,,rdx_city_SVN_115,
rdx_alias_193,Donduşeni,,rdx_city_MDA_18,
rdx_alias_194,Đông Hà,,rdx_city_VNM_6,
rdx_alias_195,Đồng Hới,,rdx_city_VNM_36,
rdx_alias_196,Đồng Xoài,,rdx_city_VNM_42,
rdx_alias_197,Drabeši,,rdx_city_LVA_60,
rdx_alias_198,Dubăsari,,rdx_city_MDA_31,
rdx_alias_199,Durrës,,rdx_city_ALB_14,
rdx_alias_200,Düzce,,rdx_city_TUR_48,
rdx_alias_201,Edineţ,,rdx_city_MDA_15,
rdx_alias_202,El Maitén,,rdx_city_ARG_38,
rdx_alias_203,Elâzığ,,rdx_city_TUR_65,
rdx_alias_204,Elbląg,,rdx_city_POL_23,
rdx_alias_205,Elektrėnai,,rdx_city_LTU_35,
rdx_alias_206,Ełk,,rdx_city_POL_24,
rdx_alias_207,Encarnación,,rdx_city_PRY_18,
rdx_alias_208,Ereğli,,rdx_city_TUR_90,
rdx_alias_209,Ērgļi,,rdx_city_LVA_62,
rdx_alias_210,Ersekë,,rdx_city_ALB_12,
rdx_alias_211,Eskişehir,,rdx_city_TUR_50,
rdx_alias_212,Estelí,,rdx_city_NIC_10,
rdx_alias_213,Évora,,rdx_city_PRT_4,
rdx_alias_214,Făleşti,,rdx_city_MDA_6,
rdx_alias_215,Ferreñafe,,rdx_city_PER_82,
rdx_alias_216,Floreşti,,rdx_city_MDA_7,
rdx_alias_217,Focșani,,rdx_city_ROU_22,
rdx_alias_218,Fushë Kosovë,,rdx_city_XKS_11,
rdx_alias_219,Gabès,,rdx_city_TUN_3,
rdx_alias_220,Gadžin Han,,rdx_city_SRB_4,
rdx_alias_221,Galați,,rdx_city_ROU_18,
rdx_alias_222,Gävle,,rdx_city_SWE_12,
rdx_alias_223,Gdańsk,,rdx_city_POL_9,
rdx_alias_224,Għajnsielem,,rdx_city_MLT_67,
rdx_alias_225,Għarb,,rdx_city_MLT_68,
rdx_alias_226,Għargħur,,rdx_city_MLT_34,
rdx_alias_227,Għasri,,rdx_city_MLT_31,
rdx_alias_228,Għaxaq,,rdx_city_MLT_30,
rdx_alias_229,Gia Nghĩa,,rdx_city_VNM_30,
rdx_alias_230,Gjakovë,,rdx_city_XKS_20,
rdx_alias_231,Gjirokastër,,rdx_city_ALB_4,
rdx_alias_232,Gjøvik,,rdx_city_NOR_26,
rdx_alias_233,Gómez Palacio,,rdx_city_MEX_118,
rdx_alias_234,Gorišnica,,rdx_city_SVN_120,
rdx_alias_235,Gorzów Wielkopolski,,rdx_city_POL_16,
rdx_alias_236,Göteborg,,rdx_city_SWE_7,
rdx_alias_237,Gouré,,rdx_city_NER_12,
rdx_alias_238,Goz Beïda,,rdx_city_TCD_21,
rdx_alias_239,Graçanicë,,rdx_city_XKS_37,
rdx_alias_240,Granada‎,,rdx_city_NIC_5,
rdx_alias_241,Grobiņa,,rdx_city_LVA_64,
rdx_alias_242,Grudziądz,,rdx_city_POL_18,
rdx_alias_243,Gualeguaychú,,rdx_city_ARG_105,
rdx_alias_244,Guamúchil,,rdx_city_MEX_139,
